Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,2.3001067638397217,58,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.1863376611537718,0.32389791820428915,0.9532163742690059
2,1,,2.730271816253662,56,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18581389320136968,0.3234187628012482,0.9532163742690059
3,2,,3.1747796535491943,50,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18623100286126582,0.32504640048363054,0.9532163742690059
4,3,,2.4770286083221436,58,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18600254722723408,0.3236260481610867,0.9532163742690059
5,4,,3.4753546714782715,50,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18659336617365524,0.32559008537783085,0.9532163742690059
6,5,,2.711137294769287,50,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18646350554404204,0.3256454954162852,0.9532163742690059
7,6,,2.5856759548187256,55,0.9532163742690059,0.9655172413793104,0.8888888888888888,0.9256198347107438,0.1865540219576232,0.3251895603614717,0.9473684210526315
8,7,,2.426379919052124,53,0.9532163742690059,0.9655172413793104,0.8888888888888888,0.9256198347107438,0.18640449703992054,0.32510576427938265,0.9473684210526315
9,8,,1.9230127334594727,50,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18687885477237573,0.32584195168879043,0.9532163742690059
10,9,,2.6436023712158203,57,0.9532163742690059,0.9824561403508771,0.8888888888888888,0.9333333333333333,0.18588275133087306,0.32346056935008266,0.9532163742690059
