Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.06790328025817871,11,1.0,1.0,1.0,1.0,0.015908439130961773,0.09292136164667626,1.0
2,1,,0.0548558235168457,12,1.0,1.0,1.0,1.0,0.01592300873023442,0.09075308640494342,1.0
3,2,,0.10074329376220703,11,1.0,1.0,1.0,1.0,0.01503122664234141,0.0902053851637353,1.0
4,3,,0.1420900821685791,11,1.0,1.0,1.0,1.0,0.016622464798714837,0.09454505942740331,1.0
5,4,,0.09005022048950195,11,1.0,1.0,1.0,1.0,0.01559626730134962,0.09146753870787738,1.0
6,5,,0.056326866149902344,11,1.0,1.0,1.0,1.0,0.017412783451549296,0.09617765783264973,1.0
7,6,,0.12249112129211426,9,1.0,1.0,1.0,1.0,0.015641040907113195,0.09085791617905785,1.0
8,7,,0.05719947814941406,11,1.0,1.0,1.0,1.0,0.015447880765425331,0.08991347909434846,1.0
9,8,,0.04977869987487793,12,1.0,1.0,1.0,1.0,0.015733459592193935,0.08935446868097018,1.0
10,9,,0.07697510719299316,12,1.0,1.0,1.0,1.0,0.015437673102870387,0.08907298020406795,1.0
