Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.03010392189025879,9,1.0,1.0,1.0,1.0,0.014604132176393787,0.09098195210486601,1.0
2,1,,0.03473067283630371,9,1.0,1.0,1.0,1.0,0.015250015651673516,0.09262693790593488,1.0
3,2,,0.07480359077453613,9,1.0,1.0,1.0,1.0,0.014538525763921374,0.09105322008442794,1.0
4,3,,0.034003496170043945,9,1.0,1.0,1.0,1.0,0.015356842627867264,0.09455467790084712,1.0
5,4,,0.08178949356079102,9,1.0,1.0,1.0,1.0,0.014972801417215553,0.09260782120982212,1.0
6,5,,0.037773847579956055,9,1.0,1.0,1.0,1.0,0.01533318891667961,0.09395950782864375,1.0
7,6,,0.042196035385131836,9,1.0,1.0,1.0,1.0,0.015302861994047472,0.09334401140798347,1.0
8,7,,0.031961917877197266,9,1.0,1.0,1.0,1.0,0.015342782588952542,0.09466111402308469,1.0
9,8,,0.033158063888549805,8,1.0,1.0,1.0,1.0,0.015505810773047468,0.09518663737028273,1.0
10,9,,0.028868913650512695,9,1.0,1.0,1.0,1.0,0.015038990326995252,0.09295283843485114,1.0
