Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.08115100860595703,11,1.0,1.0,1.0,1.0,0.015417570841616317,0.09651758316167187,1.0
2,1,,0.08426690101623535,11,1.0,1.0,1.0,1.0,0.015610455849145045,0.09718198424989745,1.0
3,2,,0.03354930877685547,10,1.0,1.0,1.0,1.0,0.015798534988107755,0.09814834051179251,1.0
4,3,,0.049544572830200195,9,1.0,1.0,1.0,1.0,0.016153842346565795,0.0989491696903003,1.0
5,4,,0.037213802337646484,9,1.0,1.0,1.0,1.0,0.015662560237627184,0.0974507775346886,1.0
6,5,,0.05973696708679199,11,1.0,1.0,1.0,1.0,0.01564898076506986,0.0967725566395277,1.0
7,6,,0.04190230369567871,11,1.0,1.0,1.0,1.0,0.015913862304178218,0.09780649899137946,1.0
8,7,,0.04306793212890625,11,1.0,1.0,1.0,1.0,0.01584252611076814,0.09740668032578405,1.0
9,8,,0.041437387466430664,9,1.0,1.0,1.0,1.0,0.015727929901801503,0.09729729974411527,1.0
10,9,,0.03830981254577637,9,1.0,1.0,1.0,1.0,0.01633657645554797,0.0999853477335595,1.0
