Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,2.6546578407287598,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9242915649025046,0.7724413818795258,0.9047619047619048
2,1,,2.4887990951538086,50,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9243380343061692,0.7724494190814482,0.9047619047619048
3,2,,2.023420810699463,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9243705780692013,0.7724527465319282,0.9047619047619048
4,3,,2.233344078063965,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9243120664996337,0.7724497154272856,0.9047619047619048
5,4,,2.708195924758911,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9243617969924385,0.7724713570763504,0.9047619047619048
6,5,,2.9618139266967773,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9243195484490688,0.772444817550073,0.9047619047619048
7,6,,3.2889485359191895,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9241494897012101,0.772409332475346,0.9047619047619048
8,7,,2.2478394508361816,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.924296816140303,0.7724351888004832,0.9047619047619048
9,8,,2.5254061222076416,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.924347273920865,0.7724747281990221,0.9047619047619048
10,9,,2.471595048904419,49,0.9047619047619048,0.9473684210526315,0.8571428571428571,0.9,0.9242565672024209,0.7724443182317147,0.9047619047619048
