Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.2723515033721924,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21874107399886508,0.3747423710916685,0.9629629629629629
2,1,,0.295290470123291,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2183389785193003,0.3746452395177258,0.9629629629629629
3,2,,0.26966094970703125,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2199689119208512,0.37619083255143837,0.9629629629629629
4,3,,0.2977116107940674,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2167638199996533,0.37269785592638194,0.9629629629629629
5,4,,0.2807905673980713,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.21987222554033095,0.37610751992835223,0.9629629629629629
6,5,,0.3082575798034668,45,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.22077858771521763,0.38102950093954174,0.9629629629629629
7,6,,0.28350257873535156,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2190048327172115,0.3757591553038923,0.9629629629629629
8,7,,0.26288866996765137,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2166299806126514,0.37310600956982515,0.9629629629629629
9,8,,0.2659726142883301,37,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.20847072846132947,0.36779841341497277,0.9629629629629629
10,9,,0.26558804512023926,41,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2214594813401053,0.37645893988289625,0.9629629629629629
