Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.33847641944885254,44,1.0,1.0,1.0,1.0,0.11729159229206365,0.27326889616434014,1.0
2,1,,0.33414268493652344,47,1.0,1.0,1.0,1.0,0.11717804547515552,0.2733990861900966,1.0
3,2,,0.35793185234069824,48,1.0,1.0,1.0,1.0,0.11836558605817009,0.2751109312590785,1.0
4,3,,0.3428957462310791,48,1.0,1.0,1.0,1.0,0.11783567059492289,0.27401264925173163,1.0
5,4,,0.47770237922668457,53,1.0,1.0,1.0,1.0,0.12108676970864823,0.27992791604260286,1.0
6,5,,0.30554771423339844,47,1.0,1.0,1.0,1.0,0.1182910450526004,0.2753449979272681,1.0
7,6,,0.46790432929992676,52,1.0,1.0,1.0,1.0,0.11975625889542993,0.2771415933886344,1.0
8,7,,0.3805398941040039,44,1.0,1.0,1.0,1.0,0.11483646215928939,0.2700118012137405,1.0
9,8,,0.3332390785217285,47,1.0,1.0,1.0,1.0,0.11892800912060363,0.2763981302119599,1.0
10,9,,0.37587904930114746,44,1.0,1.0,1.0,1.0,0.11561311811944826,0.27019187719702614,1.0
