Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Cantral test accuracy
1,0,,0.3981750011444092,34,1.0,1.0,1.0,1.0,0.12357364461951609,0.2731016381625648,1.0
2,1,,0.4866640567779541,38,1.0,1.0,1.0,1.0,0.1255103547365677,0.2741611890725902,1.0
3,2,,0.31702494621276855,38,1.0,1.0,1.0,1.0,0.12479845490540391,0.2745864877206902,1.0
4,3,,0.2652313709259033,36,1.0,1.0,1.0,1.0,0.13032512880391597,0.2805483014266057,1.0
5,4,,0.3028125762939453,38,1.0,1.0,1.0,1.0,0.12241935387254559,0.2721835230747071,1.0
6,5,,0.26698923110961914,37,1.0,1.0,1.0,1.0,0.12415279786487744,0.2746758757307315,1.0
7,6,,0.33520936965942383,38,1.0,1.0,1.0,1.0,0.12425807497606657,0.2731134608219279,1.0
8,7,,0.39945220947265625,37,1.0,1.0,1.0,1.0,0.12365101047991546,0.2733409971053456,1.0
9,8,,0.4339563846588135,38,1.0,1.0,1.0,1.0,0.12397225431976393,0.272553027239487,1.0
10,9,,0.3173341751098633,37,1.0,1.0,1.0,1.0,0.12248138102485387,0.2728664201455091,1.0
