Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.935672514619883,7.542627573013306,43,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28196136499201263,0.38146258136956557
2,1,0.935672514619883,7.36287260055542,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2824026385942002,0.3818294046905247
3,2,0.935672514619883,7.70478630065918,44,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28232623538347806,0.3808287100316988
4,3,0.935672514619883,8.237746477127075,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2825703878976615,0.38177327925605753
5,4,0.935672514619883,6.248417139053345,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2827492899222728,0.3818626171545498
6,5,0.935672514619883,6.139302492141724,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28235572868517356,0.38191632531064956
7,6,0.935672514619883,7.271479368209839,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28246346900321845,0.38153865471120413
8,7,0.935672514619883,6.44299578666687,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28298535455321133,0.38207319900511333
9,8,0.935672514619883,8.439641237258911,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.28171481341134075,0.38137940091831446
10,9,0.935672514619883,6.094316482543945,42,0.9415204678362573,0.9814814814814815,0.8412698412698413,0.905982905982906,0.2824001375066558,0.38156571877080814
