Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.9405,8.923369407653809,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.2535802987873166,0.3675735420004874
2,1,0.9405,6.4906299114227295,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.25358623774812983,0.3675893031578181
3,2,0.9405,6.039189577102661,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.2535757709793211,0.3675632770094218
4,3,0.9405,6.454842805862427,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.2535796622541408,0.36757107187483856
5,4,0.9405,8.268357276916504,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.25357688289382996,0.36756619756229597
6,5,0.9405,8.14218521118164,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.253583286423996,0.36757468761783374
7,6,0.9405,5.473868131637573,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.25358138614395787,0.3675773952315859
8,7,0.9405,7.470569372177124,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.25358840868878146,0.36758999999982517
9,8,0.9405,10.332180976867676,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.2535748270174555,0.36755977409248236
10,9,0.9405,9.779027462005615,13,0.9373333333333334,0.9474330631294522,0.96425,0.9557675628794449,0.2535785785327375,0.3675675418848529
