Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.9381666666666667,3.5446932315826416,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25064671540176264,0.3620407291952305
2,1,0.9381666666666667,2.662658452987671,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506575330868693,0.3620525797844466
3,2,0.9381666666666667,4.283480882644653,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506533265802235,0.362055659319334
4,3,0.9381666666666667,4.0993499755859375,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25064615413712565,0.3620423189220019
5,4,0.9381666666666667,2.748957872390747,11,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25065817589315276,0.362063728044857
6,5,0.9381666666666667,2.3710474967956543,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.25065785118059064,0.3620609748631478
7,6,0.9381666666666667,2.4371109008789062,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506564631730576,0.3620558607643749
8,7,0.9381666666666667,4.351254463195801,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506509333497711,0.3620465067858389
9,8,0.9381666666666667,2.027723789215088,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506563224026023,0.36206072480741675
10,9,0.9381666666666667,4.4019811153411865,12,0.9378333333333333,0.9474722564734895,0.9605,0.953941651148355,0.2506577362049751,0.3620615117413973
