Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,0.9375,3.258657217025757,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662371539405695,0.35245485161295825
2,1,0.9375,3.086857318878174,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662337184325933,0.35244836417208864
3,2,0.9375,4.862207651138306,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662386669245398,0.35244981628818256
4,3,0.9375,4.0749640464782715,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662566822034596,0.35245633908820506
5,4,0.9375,5.375629901885986,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.2466245339032789,0.35246042395212906
6,5,0.9375,4.013783693313599,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662446814350691,0.3524481009240443
7,6,0.9375,3.7809066772460938,16,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662266559683554,0.35244452776743046
8,7,0.9375,3.6691269874572754,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.246626904340578,0.35246060656096007
9,8,0.9375,4.757500648498535,16,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662553917735583,0.3524576520218492
10,9,0.9375,3.459651470184326,17,0.9373333333333334,0.9465385562946539,0.9605,0.9534681722298053,0.24662401824989816,0.3524516298966005
