Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,1.0,0.3226950168609619,11,1.0,1.0,1.0,1.0,0.014817508003727971,0.08910437037976615
2,1,1.0,0.22438979148864746,12,1.0,1.0,1.0,1.0,0.015159420049575666,0.087983195369259
3,2,1.0,0.33130478858947754,11,1.0,1.0,1.0,1.0,0.0159794809967115,0.09191285512588114
4,3,1.0,0.30444765090942383,11,1.0,1.0,1.0,1.0,0.015509510864065174,0.0912476823969016
5,4,1.0,0.5763027667999268,12,1.0,1.0,1.0,1.0,0.015817121133293074,0.08923935377730506
6,5,1.0,0.2511730194091797,11,1.0,1.0,1.0,1.0,0.017123318761643812,0.09358652421523916
7,6,1.0,0.2801840305328369,11,1.0,1.0,1.0,1.0,0.01593005268446526,0.09495444635548746
8,7,1.0,0.25943684577941895,11,1.0,1.0,1.0,1.0,0.014755043999193355,0.08832481514153133
9,8,1.0,0.2248249053955078,11,1.0,1.0,1.0,1.0,0.015769387891763846,0.08881593518154945
10,9,1.0,0.28684163093566895,11,1.0,1.0,1.0,1.0,0.015603738216989606,0.09339877235152139
