Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,1.0,0.17556333541870117,9,1.0,1.0,1.0,1.0,0.015263546812370129,0.09422933982106757
2,1,1.0,0.1953296661376953,9,1.0,1.0,1.0,1.0,0.015575598953337657,0.09534717657194657
3,2,1.0,0.2500929832458496,9,1.0,1.0,1.0,1.0,0.01597186195799889,0.09684056737991548
4,3,1.0,0.2651548385620117,9,1.0,1.0,1.0,1.0,0.015253466053741246,0.09359689258720955
5,4,1.0,0.3886699676513672,9,1.0,1.0,1.0,1.0,0.015440725212163763,0.09405203221446418
6,5,1.0,0.17289018630981445,9,1.0,1.0,1.0,1.0,0.015040387883927352,0.09373493188853893
7,6,1.0,0.2510688304901123,9,1.0,1.0,1.0,1.0,0.015497117343121012,0.09535579914485574
8,7,1.0,0.1776585578918457,9,1.0,1.0,1.0,1.0,0.01544050414266753,0.09463598895091953
9,8,1.0,0.19384217262268066,9,1.0,1.0,1.0,1.0,0.015128240173853993,0.09365165118974118
10,9,1.0,0.18071985244750977,9,1.0,1.0,1.0,1.0,0.015426280488085838,0.09486077517189256
