Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,1.0,0.19453907012939453,10,1.0,1.0,1.0,1.0,0.016266315084983954,0.09922495878466592
2,1,1.0,0.2646934986114502,10,1.0,1.0,1.0,1.0,0.015841625962149438,0.09868690067532572
3,2,1.0,0.1853041648864746,9,1.0,1.0,1.0,1.0,0.016015522059500388,0.09885433925778053
4,3,1.0,0.2337949275970459,11,1.0,1.0,1.0,1.0,0.015722595630970622,0.09757004272280459
5,4,1.0,0.16509318351745605,9,1.0,1.0,1.0,1.0,0.015251610909659633,0.09582146485507725
6,5,1.0,0.19658613204956055,9,1.0,1.0,1.0,1.0,0.015665797935655156,0.09693045637619531
7,6,1.0,0.22834324836730957,10,1.0,1.0,1.0,1.0,0.01589008465671015,0.09863254672161025
8,7,1.0,0.19548726081848145,10,1.0,1.0,1.0,1.0,0.015534060272841972,0.09681416358691144
9,8,1.0,0.2254350185394287,9,1.0,1.0,1.0,1.0,0.015602456328801442,0.0967810632152763
10,9,1.0,0.23708152770996094,11,1.0,1.0,1.0,1.0,0.01627224902351414,0.09943661322976287
