Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,1.0,2.470416784286499,48,1.0,1.0,1.0,1.0,0.12057596771305537,0.2772127698945691
2,1,1.0,1.8117752075195312,47,1.0,1.0,1.0,1.0,0.11985673036665875,0.27598423847271936
3,2,1.0,2.2310638427734375,48,1.0,1.0,1.0,1.0,0.1202061181502455,0.27619940122907316
4,3,1.0,1.955568552017212,46,1.0,1.0,1.0,1.0,0.12034637263577007,0.2761813617233782
5,4,1.0,2.2601072788238525,53,1.0,1.0,1.0,1.0,0.1230606331938571,0.28147832481417395
6,5,1.0,1.894662857055664,48,1.0,1.0,1.0,1.0,0.12083633231317029,0.27723439673443084
7,6,1.0,1.982647180557251,49,1.0,1.0,1.0,1.0,0.12125781383385838,0.2777464602465863
8,7,1.0,2.170976400375366,46,1.0,1.0,1.0,1.0,0.11973514208773096,0.27577529955995583
9,8,1.0,2.209749460220337,47,1.0,1.0,1.0,1.0,0.12058721517644118,0.2762335271235561
10,9,1.0,2.230654239654541,52,1.0,1.0,1.0,1.0,0.11997041586068445,0.2774266730968316
