Run,Seed,Central test accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE
1,0,1.0,3.054807186126709,37,1.0,1.0,1.0,1.0,0.1361278364653198,0.2896760263293422
2,1,1.0,3.5110318660736084,40,1.0,1.0,1.0,1.0,0.13713799306288493,0.2891519365668767
3,2,1.0,3.206364870071411,38,1.0,1.0,1.0,1.0,0.13481420367056718,0.2859376646483722
4,3,1.0,2.4545738697052,38,1.0,1.0,1.0,1.0,0.13433425865543905,0.2852789766056712
5,4,1.0,3.0189931392669678,38,1.0,1.0,1.0,1.0,0.13496011387550466,0.2871804037490647
6,5,1.0,2.1624038219451904,38,1.0,1.0,1.0,1.0,0.13474587098154306,0.2862118306442233
7,6,1.0,2.815859794616699,38,1.0,1.0,1.0,1.0,0.1363073241469891,0.28792553859091674
8,7,1.0,2.462717056274414,37,1.0,1.0,1.0,1.0,0.13563223492055432,0.2871410397720964
9,8,1.0,2.426995277404785,36,1.0,1.0,1.0,1.0,0.13748916826291369,0.2886345497983956
10,9,1.0,2.7176623344421387,38,1.0,1.0,1.0,1.0,0.13527368821591332,0.2864760115542048
