Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,5.330969333648682,131,0.9649122807017544,0.9672131147540983,0.9365079365079365,0.9516129032258064,0.1562385090169647,0.3064179435733793,0.9649122807017544
2,1,,3.660093069076538,102,0.9473684210526315,0.9508196721311475,0.9206349206349206,0.9354838709677418,0.179338405194774,0.31165452270746963,0.9473684210526315
3,2,,4.7641565799713135,116,0.9590643274853801,0.9666666666666667,0.9206349206349206,0.943089430894309,0.19097572621772416,0.32645645490835296,0.9590643274853801
4,3,,3.685579776763916,105,0.9649122807017544,0.9830508474576272,0.9206349206349206,0.9508196721311476,0.18578521763872827,0.3100771820391806,0.9649122807017544
5,4,,3.870306968688965,111,0.9766081871345029,0.9836065573770492,0.9523809523809523,0.9677419354838709,0.1566263368127383,0.2983168123711649,0.9766081871345029
6,5,,3.6686222553253174,97,0.9707602339181286,0.967741935483871,0.9523809523809523,0.96,0.17084991470969468,0.31808802671599523,0.9707602339181286
7,6,,3.4281036853790283,100,0.9766081871345029,1.0,0.9365079365079365,0.9672131147540983,0.17261084442064364,0.3061235050965685,0.9766081871345029
8,7,,3.8493127822875977,109,0.9824561403508771,0.9838709677419355,0.9682539682539683,0.976,0.16071219026021702,0.30928476937076493,0.9824561403508771
9,8,,4.6588428020477295,129,0.9649122807017544,0.9830508474576272,0.9206349206349206,0.9508196721311476,0.16865534244835895,0.3039196153055111,0.9649122807017544
10,9,,3.290010929107666,91,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.15934630034231173,0.3028774937067509,0.9824561403508771
