Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.30288028717041,65,0.9239766081871345,0.9615384615384616,0.7936507936507936,0.8695652173913043,0.29323595057793606,0.39189145464060626,0.9239766081871345
2,1,,2.353785753250122,67,0.935672514619883,0.9642857142857143,0.8571428571428571,0.9075630252100839,0.4008459976033143,0.3747160777046979,0.935672514619883
3,2,,2.4896998405456543,70,0.9532163742690059,1.0,0.873015873015873,0.9322033898305084,0.24405943754481405,0.34986879832300355,0.9532163742690059
4,3,,1.847792625427246,51,0.9415204678362573,1.0,0.8412698412698413,0.9137931034482758,0.2608075142283532,0.37622293098384163,0.9415204678362573
5,4,,2.0200228691101074,57,0.9532163742690059,0.9655172413793104,0.8888888888888888,0.9256198347107438,0.291800134715714,0.38031942814218966,0.9532163742690059
6,5,,1.846949815750122,53,0.9181286549707602,1.0,0.7936507936507936,0.8849557522123894,0.4812029251645694,0.41181253740911944,0.9181286549707602
7,6,,2.495664596557617,66,0.9590643274853801,0.9516129032258065,0.9365079365079365,0.944,0.2762174559789628,0.39240748355156846,0.9590643274853801
8,7,,2.393176794052124,50,0.9532163742690059,0.9661016949152542,0.9047619047619048,0.9344262295081968,0.29352360373753533,0.3758875815227122,0.9532163742690059
9,8,,1.8928923606872559,48,0.9239766081871345,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.28991396306808986,0.38252105307652584,0.9239766081871345
10,9,,4.576149940490723,63,0.9415204678362573,0.9491525423728814,0.8888888888888888,0.9180327868852458,0.34230517285032375,0.3953081757012364,0.9415204678362573
