Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.5457763671875,13,0.9391666666666667,0.9466340269277845,0.96675,0.9565862708719851,0.2689656874220334,0.3943052285178588,0.9391666666666667
2,1,,3.4611690044403076,13,0.9396666666666667,0.9481789293571254,0.96975,0.9588431590656286,0.25654174645735367,0.3779258360627547,0.9396666666666667
3,2,,4.0963451862335205,13,0.938,0.9474975466143277,0.9655,0.9564140663694898,0.25320316847179597,0.3680967848967824,0.938
4,3,,3.8648407459259033,12,0.9376666666666666,0.94640234948605,0.96675,0.9564679693297056,0.25144794393493747,0.3659575205711485,0.9376666666666666
5,4,,3.1598060131073,12,0.9368333333333333,0.9463186407288845,0.96075,0.9534797171566803,0.24848423574544531,0.35510210919247903,0.9368333333333333
6,5,,3.9208312034606934,13,0.9386666666666666,0.9473813621834276,0.96325,0.9552497830668154,0.25113848783165166,0.3640334158967782,0.9386666666666666
7,6,,3.613792896270752,13,0.9376666666666666,0.9469548133595285,0.964,0.9554013875123885,0.25215903388949723,0.3629813122906183,0.9376666666666666
8,7,,3.5897743701934814,13,0.9381666666666667,0.9473942969518191,0.9635,0.9553792761527021,0.24979268907719757,0.3619047880212157,0.9381666666666667
9,8,,3.8924121856689453,12,0.9378333333333333,0.948051948051948,0.96725,0.9575547580744957,0.2577755587102981,0.3809448594177574,0.9378333333333333
10,9,,5.413355827331543,19,0.9378333333333333,0.94683731233079,0.96175,0.9542353962544959,0.24836639296403537,0.35531008839936473,0.9378333333333333
