Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,5.024035453796387,12,0.9381666666666667,0.9483476132190942,0.9685,0.9583178726035868,0.2556749290036572,0.37672846744009925,0.9381666666666667
2,1,,2.432075262069702,12,0.938,0.9468503937007874,0.962,0.9543650793650794,0.24806501406569997,0.35784934460321266,0.938
3,2,,2.464815378189087,12,0.9383333333333334,0.9479754601226994,0.96575,0.956780185758514,0.2562188956405968,0.3750627451244097,0.9383333333333334
4,3,,2.520387887954712,13,0.9396666666666667,0.9473555337904016,0.96725,0.9571994062345375,0.25440276677672896,0.3737763445401432,0.9396666666666667
5,4,,3.5058796405792236,13,0.9376666666666666,0.9476025704399407,0.9585,0.9530201342281879,0.24594028530639037,0.34972433638068834,0.9376666666666666
6,5,,6.173033714294434,12,0.9386666666666666,0.9482589504659147,0.96675,0.9574152017826194,0.25365672733521366,0.3728948725494671,0.9386666666666666
7,6,,2.921215534210205,12,0.9388333333333333,0.9493359567142154,0.965,0.9571038928837095,0.27518061006738387,0.40364111723569823,0.9388333333333333
8,7,,2.137221574783325,12,0.938,0.9474459724950884,0.9645,0.9558969276511398,0.25152783712346877,0.36440451733642665,0.938
9,8,,2.371455669403076,13,0.9373333333333334,0.9461595455668066,0.95775,0.9519194931047336,0.24887303464643182,0.3524251994295549,0.9373333333333334
10,9,,2.0863258838653564,12,0.9375,0.9461595455668066,0.95775,0.9519194931047336,0.2489514934103354,0.3536885336335127,0.9375
