Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,7.224044561386108,17,0.937,0.9458261511942871,0.96025,0.9529835008063515,0.2468088946852551,0.3495206051312819,0.937
2,1,,4.905243396759033,17,0.9373333333333334,0.9455799064269884,0.96,0.9527353926311871,0.24633224171836476,0.34916051854088537,0.9373333333333334
3,2,,6.611555576324463,24,0.9375,0.9460591133004926,0.96025,0.9531017369727047,0.24689551656965408,0.34991464217604545,0.9375
4,3,,4.757330417633057,17,0.9373333333333334,0.9464858199753391,0.9595,0.9529484792054626,0.24674725210071044,0.35032078285648005,0.9373333333333334
5,4,,5.010191917419434,22,0.9375,0.9460723959615858,0.9605,0.9532316089815158,0.24631032743567566,0.3491076857398873,0.9375
6,5,,4.31264853477478,20,0.9375,0.9460723959615858,0.9605,0.9532316089815158,0.24664599355023492,0.34954762849700227,0.9375
7,6,,3.130119800567627,16,0.9373333333333334,0.9460192260290855,0.9595,0.9527119275164453,0.24665633058742223,0.3499348816241621,0.9373333333333334
8,7,,3.8365347385406494,17,0.9373333333333334,0.9463318562284588,0.961,0.9536095261721657,0.2468971897566107,0.3502273152332582,0.9373333333333334
9,8,,3.4952969551086426,17,0.9375,0.9462921901946292,0.96025,0.9532200024816975,0.24761031193745528,0.35053227614943216,0.9375
10,9,,5.2789082527160645,16,0.9375,0.9453471196454948,0.96,0.9526172165715703,0.24641790034913366,0.3497769491335553,0.9375
