Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,1.332486867904663,59,0.8867924528301887,0.8472222222222222,0.9838709677419355,0.9104477611940298,0.4773089926542646,0.5070746163929373,0.8867924528301887
2,1,,3.44787859916687,66,0.8679245283018868,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.6514117055790509,0.5776743067880908,0.8679245283018868
3,2,,2.336519956588745,63,0.8773584905660378,0.8266666666666667,1.0,0.9051094890510949,0.574722560920905,0.5095879083877641,0.8773584905660378
4,3,,3.2847471237182617,60,0.9056603773584906,0.8611111111111112,1.0,0.9253731343283582,0.5126389726996745,0.5205550492323858,0.9056603773584906
5,4,,2.240922451019287,61,0.8773584905660378,0.8157894736842105,1.0,0.898550724637681,0.5395191209914025,0.5243260867756488,0.8773584905660378
6,5,,2.5053396224975586,69,0.839622641509434,0.7922077922077922,0.9838709677419355,0.8776978417266188,0.5520719536761568,0.5196171717826416,0.839622641509434
7,6,,2.283357858657837,64,0.8679245283018868,0.8333333333333334,0.967741935483871,0.8955223880597015,0.49450097402389104,0.5088945627482937,0.8679245283018868
8,7,,2.4701924324035645,66,0.8773584905660378,0.8356164383561644,0.9838709677419355,0.9037037037037038,0.5106178458485997,0.5020481576621436,0.8773584905660378
9,8,,2.261166572570801,66,0.8679245283018868,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.83821365266036,0.6109050807397177,0.8679245283018868
10,9,,3.78973388671875,65,0.8679245283018868,0.8243243243243243,0.9838709677419355,0.8970588235294118,0.7275473268898941,0.5689719257029733,0.8679245283018868
