Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.04030346870422363,11,1.0,1.0,1.0,1.0,0.01662947806764709,0.09282238833892202,1.0
2,1,,0.02867293357849121,8,1.0,1.0,1.0,1.0,0.015878459651004803,0.1000115350528765,1.0
3,2,,0.041034698486328125,11,1.0,1.0,1.0,1.0,0.014620554560371066,0.09107172407459735,1.0
4,3,,0.03435564041137695,11,1.0,1.0,1.0,1.0,0.013297561371647731,0.08607842686145743,1.0
5,4,,0.036836862564086914,8,1.0,1.0,1.0,1.0,0.015367035387628963,0.09605747735278179,1.0
6,5,,0.036734580993652344,11,1.0,1.0,1.0,1.0,0.017552090015263935,0.09604477726566328,1.0
7,6,,0.03700137138366699,11,1.0,1.0,1.0,1.0,0.01467967333762095,0.09112314108955913,1.0
8,7,,0.06387662887573242,12,1.0,1.0,1.0,1.0,0.01618526301380922,0.0970776446291856,1.0
9,8,,0.0384371280670166,11,1.0,1.0,1.0,1.0,0.01740762836433624,0.09697402390937583,1.0
10,9,,0.03843212127685547,11,1.0,1.0,1.0,1.0,0.012982938639772911,0.08752399866192104,1.0
