Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.04157280921936035,9,1.0,1.0,1.0,1.0,0.014314628326673838,0.09046191079814735,1.0
2,1,,0.03467869758605957,9,1.0,1.0,1.0,1.0,0.014908092516651943,0.08997113946056895,1.0
3,2,,0.04909205436706543,9,1.0,1.0,1.0,1.0,0.018815412570141257,0.10656691785904195,1.0
4,3,,0.031995534896850586,9,1.0,1.0,1.0,1.0,0.016540474369561305,0.10032324974745571,1.0
5,4,,0.05805850028991699,9,1.0,1.0,1.0,1.0,0.01395384727815516,0.08348377029329832,1.0
6,5,,0.032134294509887695,9,1.0,1.0,1.0,1.0,0.014568643849272415,0.08989214458982218,1.0
7,6,,0.027294397354125977,9,1.0,1.0,1.0,1.0,0.016078064753360315,0.09670123504390599,1.0
8,7,,0.03327679634094238,9,1.0,1.0,1.0,1.0,0.013957663033836859,0.08467555058991307,1.0
9,8,,0.030160188674926758,9,1.0,1.0,1.0,1.0,0.01459976303315595,0.08979767655315068,1.0
10,9,,0.05113029479980469,9,1.0,1.0,1.0,1.0,0.014661258077238363,0.09118827783696813,1.0
