Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.09124469757080078,20,1.0,1.0,1.0,1.0,0.019083759030020058,0.09786803409134501,1.0
2,1,,0.058097124099731445,16,1.0,1.0,1.0,1.0,0.01601422082541142,0.09322731212364685,1.0
3,2,,0.13184142112731934,20,1.0,1.0,1.0,1.0,0.016346323339782545,0.08897846036145375,1.0
4,3,,0.14960145950317383,20,1.0,1.0,1.0,1.0,0.018310126255843013,0.09494450358988582,1.0
5,4,,0.08288359642028809,16,1.0,1.0,1.0,1.0,0.01834537028934234,0.09915772473275718,1.0
6,5,,0.11280465126037598,20,1.0,1.0,1.0,1.0,0.017195384756306623,0.08774852825815337,1.0
7,6,,0.05121159553527832,15,1.0,1.0,1.0,1.0,0.017201716290857205,0.10255992810296342,1.0
8,7,,0.09823441505432129,17,1.0,1.0,1.0,1.0,0.015951519897026714,0.08994435783003267,1.0
9,8,,0.07089471817016602,20,1.0,1.0,1.0,1.0,0.019083982018145557,0.09491298236406248,1.0
10,9,,0.08676624298095703,20,1.0,1.0,1.0,1.0,0.01680011178939573,0.09435701724992297,1.0
