Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,1.9922947883605957,43,0.7142857142857143,0.6206896551724138,0.6666666666666666,0.6428571428571429,0.9030720500365692,0.7922608420375817,0.7142857142857143
2,1,,1.647049903869629,35,0.7142857142857143,0.6956521739130435,0.5925925925925926,0.6399999999999999,1.0699632466938047,0.7851805066035303,0.7142857142857143
3,2,,1.7119076251983643,35,0.8253968253968254,0.8076923076923077,0.7777777777777778,0.7924528301886792,0.7653858892223842,0.6618905480565581,0.8253968253968254
4,3,,3.2909059524536133,37,0.7777777777777778,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.9458774813645109,0.6969901399688702,0.7777777777777778
5,4,,1.6730401515960693,35,0.7936507936507936,0.8181818181818182,0.6666666666666666,0.7346938775510203,0.7437320145407651,0.6538946013061534,0.7936507936507936
6,5,,1.6920630931854248,37,0.8095238095238095,0.8260869565217391,0.7037037037037037,0.76,0.7655263618417206,0.6768577662794705,0.8095238095238095
7,6,,1.9695062637329102,40,0.7142857142857143,0.6666666666666666,0.5925925925925926,0.627450980392157,1.0740487349691594,0.8344341438094788,0.7142857142857143
8,7,,1.6300773620605469,36,0.746031746031746,0.7391304347826086,0.6296296296296297,0.68,0.7883325688614775,0.6908576277344323,0.746031746031746
9,8,,1.5943653583526611,34,0.8571428571428571,0.9090909090909091,0.7407407407407407,0.8163265306122449,0.5355901504123309,0.5986722150793825,0.8571428571428571
10,9,,1.6796388626098633,36,0.7777777777777778,0.85,0.6296296296296297,0.723404255319149,0.6221510223407583,0.619017186679498,0.7777777777777778
