Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.7060532569885254,47,0.8888888888888888,0.9166666666666666,0.8148148148148148,0.8627450980392156,1.7434956815066212,0.7384308578777035,0.8888888888888888
2,1,,3.248450994491577,46,0.873015873015873,0.88,0.8148148148148148,0.8461538461538461,1.0992644844598283,0.7113294181627667,0.873015873015873
3,2,,2.4379262924194336,50,0.8412698412698413,0.8461538461538461,0.8148148148148148,0.830188679245283,1.0503448667702797,0.7027535959301592,0.8412698412698413
4,3,,3.042572259902954,59,0.8095238095238095,0.8,0.7407407407407407,0.7692307692307692,1.2106224777147052,0.7712414762559392,0.8095238095238095
5,4,,3.0794782638549805,59,0.9047619047619048,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.616829082148487,0.5644657223216655,0.9047619047619048
6,5,,3.2061030864715576,64,0.9206349206349206,0.8928571428571429,0.9259259259259259,0.9090909090909091,2.661862730604297,0.9742513070210502,0.9206349206349206
7,6,,1.8117835521697998,40,0.873015873015873,0.8518518518518519,0.8518518518518519,0.8518518518518519,1.4067228407385848,0.7639702362337354,0.873015873015873
8,7,,2.269972801208496,46,0.8412698412698413,0.8695652173913043,0.7407407407407407,0.7999999999999999,1.186563758515088,0.7561136841938051,0.8412698412698413
9,8,,3.7638189792633057,69,0.8412698412698413,0.8695652173913043,0.7407407407407407,0.7999999999999999,1.5584259944905976,0.8129955299794372,0.8412698412698413
10,9,,2.549856185913086,53,0.8412698412698413,0.8695652173913043,0.7407407407407407,0.7999999999999999,0.8508714470540844,0.7156008865902516,0.8412698412698413
