Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.9912521839141846,21,0.6984126984126984,0.6363636363636364,0.7777777777777778,0.7000000000000001,2.548797882342116,1.0055633516961238,0.6984126984126984
2,1,,2.6135966777801514,29,0.7619047619047619,0.7,0.7777777777777778,0.7368421052631577,1.5426805550160232,0.8798126711570354,0.7619047619047619
3,2,,1.403289556503296,28,0.7142857142857143,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.7890308715147919,0.768505987792334,0.7142857142857143
4,3,,1.1601002216339111,24,0.6507936507936508,0.6206896551724138,0.6666666666666666,0.6428571428571429,0.9358730921751429,0.8538876239882499,0.6507936507936508
5,4,,1.2398183345794678,28,0.7142857142857143,0.6333333333333333,0.7037037037037037,0.6666666666666667,1.249009116168348,0.87971223467357,0.7142857142857143
6,5,,1.18729567527771,27,0.7301587301587301,0.6451612903225806,0.7407407407407407,0.689655172413793,1.6896947976556458,0.9820806986915167,0.7301587301587301
7,6,,1.2695553302764893,28,0.6507936507936508,0.59375,0.7037037037037037,0.6440677966101694,1.2273323587995029,0.9338163091196368,0.6507936507936508
8,7,,1.1981143951416016,27,0.7142857142857143,0.6,0.6666666666666666,0.631578947368421,1.3932693646807914,0.9763045356095618,0.7142857142857143
9,8,,1.0366849899291992,23,0.6825396825396826,0.6,0.6666666666666666,0.631578947368421,1.2258867784430636,0.8752407332914189,0.6825396825396826
10,9,,1.2236688137054443,27,0.746031746031746,0.6875,0.8148148148148148,0.7457627118644067,1.2144117675711181,0.8992632448273858,0.746031746031746
