Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.48244524002075195,59,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.25927966828223925,0.3889509108383128,0.9629629629629629
2,1,,0.39331579208374023,62,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.2138395290339851,0.376876348788892,0.9814814814814815
3,2,,0.40313172340393066,61,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.3182606592703381,0.3834128186785908,0.9444444444444444
4,3,,0.4380455017089844,72,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.3004535442018284,0.3896861988648491,0.9814814814814815
5,4,,0.3932840824127197,63,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.26115851095360554,0.39041299324000583,0.9444444444444444
6,5,,0.40039563179016113,65,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.23462040624467354,0.40434625968174437,0.9629629629629629
7,6,,0.48303985595703125,82,0.9814814814814815,1.0,1.0,1.0,0.18929005325893578,0.35994353875527857,0.9814814814814815
8,7,,0.4251396656036377,68,0.9814814814814815,1.0,1.0,1.0,0.13951786603442137,0.2979656870396305,0.9814814814814815
9,8,,0.4066603183746338,67,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.2858556043273693,0.4055437509983573,0.9444444444444444
10,9,,0.3574533462524414,55,1.0,1.0,1.0,1.0,0.1427037614768953,0.31913480439087144,1.0
