Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.3872408866882324,64,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.13821358752269727,0.2892618467408002,0.9814814814814815
2,1,,0.530503511428833,77,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.20852768978599556,0.34270930382427306,0.9814814814814815
3,2,,0.5620589256286621,77,1.0,1.0,1.0,1.0,0.1560573104146608,0.30776323222108,1.0
4,3,,0.4847142696380615,82,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.2233634561175682,0.37881303988294907,0.9814814814814815
5,4,,0.5540070533752441,95,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.2495043653454216,0.3504564139081242,0.9814814814814815
6,5,,0.66255784034729,92,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.35814795723036946,0.3227527121736913,0.9814814814814815
7,6,,0.5101444721221924,74,0.9629629629629629,1.0,0.8636363636363636,0.9268292682926829,0.256812802142866,0.3893435511699529,0.9629629629629629
8,7,,0.48003387451171875,73,1.0,1.0,1.0,1.0,0.12703731910463723,0.30207575044663837,1.0
9,8,,0.5448110103607178,82,0.9444444444444444,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.21464559989844662,0.36952559419887304,0.9444444444444444
10,9,,0.5561103820800781,87,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.1515083429037492,0.2993720239239072,0.9814814814814815
