Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.5119509696960449,56,1.0,1.0,1.0,1.0,0.13865014415444238,0.3077128322834541,1.0
2,1,,0.43538618087768555,63,0.9259259259259259,1.0,0.8636363636363636,0.9268292682926829,0.23279067397641745,0.3692238729619016,0.9259259259259259
3,2,,0.5487399101257324,74,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.2253831093652783,0.3685359900509328,0.9814814814814815
4,3,,0.47855281829833984,67,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2217001406215248,0.34796552862764724,0.9629629629629629
5,4,,0.8286569118499756,68,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.4228725405239579,0.4303470153061228,0.9814814814814815
6,5,,0.7589535713195801,54,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.305049564339949,0.4044474696953207,0.9444444444444444
7,6,,0.479755163192749,62,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.20369921784022155,0.3444572658615823,0.9444444444444444
8,7,,0.42446327209472656,68,0.9444444444444444,1.0,0.9090909090909091,0.9523809523809523,0.24056502298061028,0.36791366102555323,0.9444444444444444
9,8,,0.3725306987762451,55,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.23322562700295907,0.390402194444988,0.9444444444444444
10,9,,0.44577741622924805,68,1.0,1.0,1.0,1.0,0.15639287987003317,0.3172247524430001,1.0
