Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,11.401690006256104,120,0.9649122807017544,0.9672131147540983,0.9365079365079365,0.9516129032258064,0.15896720957044294,0.3078592671785835,0.9649122807017544
2,1,,7.854855298995972,95,0.9473684210526315,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.18375150859980624,0.31198145697148644,0.9415204678362573
3,2,,10.13589882850647,110,0.9590643274853801,0.9666666666666667,0.9206349206349206,0.943089430894309,0.19441163368889677,0.3286957762391067,0.9590643274853801
4,3,,8.613712072372437,104,0.9649122807017544,0.9830508474576272,0.9206349206349206,0.9508196721311476,0.18777929148269834,0.310001554790518,0.9649122807017544
5,4,,8.032933473587036,94,0.9766081871345029,0.967741935483871,0.9523809523809523,0.96,0.16044614301992258,0.29917999975497067,0.9707602339181286
6,5,,7.807134628295898,96,0.9707602339181286,0.967741935483871,0.9523809523809523,0.96,0.17595511930538815,0.3209240527482759,0.9707602339181286
7,6,,8.60266637802124,99,0.9766081871345029,1.0,0.9523809523809523,0.975609756097561,0.1761299784392276,0.3092601208406137,0.9824561403508771
8,7,,8.756851196289062,106,0.9824561403508771,0.9838709677419355,0.9682539682539683,0.976,0.16225298606919425,0.3080010721488468,0.9824561403508771
9,8,,9.642034769058228,121,0.9649122807017544,0.9827586206896551,0.9047619047619048,0.9421487603305785,0.17585480904138254,0.3125963147254826,0.9590643274853801
10,9,,7.305595636367798,84,0.9824561403508771,1.0,0.9365079365079365,0.9672131147540983,0.15997820688844588,0.3044128382741729,0.9766081871345029
