Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,5.874317646026611,65,0.9239766081871345,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.29900638880582653,0.3951956982273542,0.9239766081871345
2,1,,5.7291343212127686,67,0.935672514619883,0.9649122807017544,0.873015873015873,0.9166666666666667,0.3899030667392054,0.3740508927935859,0.9415204678362573
3,2,,5.992778301239014,70,0.9532163742690059,0.9821428571428571,0.873015873015873,0.9243697478991596,0.2440792171307411,0.3527376817204176,0.9473684210526315
4,3,,4.633085012435913,53,0.9415204678362573,1.0,0.8412698412698413,0.9137931034482758,0.25813899149709396,0.3773849460108382,0.9415204678362573
5,4,,5.146252632141113,60,0.9532163742690059,0.9661016949152542,0.9047619047619048,0.9344262295081968,0.2876673282923675,0.3793881080774377,0.9532163742690059
6,5,,4.929495811462402,58,0.9181286549707602,0.9807692307692307,0.8095238095238095,0.8869565217391304,0.45417817192899956,0.4094646799998354,0.9239766081871345
7,6,,5.687253475189209,65,0.9590643274853801,0.9344262295081968,0.9047619047619048,0.9193548387096775,0.2897962156293104,0.4016030272781455,0.9415204678362573
8,7,,4.914607048034668,53,0.9532163742690059,0.95,0.9047619047619048,0.9268292682926829,0.3017780984031419,0.3799450392102579,0.9473684210526315
9,8,,4.674312353134155,45,0.9239766081871345,0.9629629629629629,0.8253968253968254,0.8888888888888888,0.28877481387724413,0.38414257287811526,0.9239766081871345
10,9,,6.633311986923218,62,0.9415204678362573,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.35545419280793017,0.4046021794337792,0.935672514619883
