Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,4.8004515171051025,13,0.9381666666666667,0.9474330631294522,0.96425,0.9557675628794449,0.2507455364822553,0.3633800348283777,0.9405
2,1,,2.988420009613037,12,0.938,0.9468503937007874,0.962,0.9543650793650794,0.2480650140645666,0.35784934459987605,0.9386666666666666
3,2,,2.787466526031494,12,0.9383333333333334,0.9479754601226994,0.96575,0.956780185758514,0.256218895641512,0.37506274514218657,0.9418333333333333
4,3,,2.9540855884552,13,0.9396666666666667,0.9473555337904016,0.96725,0.9571994062345375,0.25440273393439533,0.3737763130623883,0.9423333333333334
5,4,,3.163261651992798,12,0.9376666666666666,0.9451445515196442,0.95625,0.9506648440412576,0.2568271750374366,0.36180881958663363,0.9338333333333333
6,5,,3.0976991653442383,12,0.9386666666666666,0.9482589504659147,0.96675,0.9574152017826194,0.2536567273336821,0.3728948730328467,0.9426666666666667
7,6,,7.297112941741943,12,0.9388333333333333,0.9493359567142154,0.965,0.9571038928837095,0.275180610071565,0.4036411172254578,0.9423333333333334
8,7,,2.826368808746338,12,0.938,0.9474459724950884,0.9645,0.9558969276511398,0.25152783570899895,0.36440452463922884,0.9406666666666667
9,8,,2.798788070678711,14,0.9373333333333334,0.9461595455668066,0.95775,0.9519194931047336,0.24887315333424678,0.3524253709333308,0.9355
10,9,,2.9161698818206787,12,0.9375,0.9461595455668066,0.95775,0.9519194931047336,0.24895149347178183,0.35368853376782877,0.9355
