Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,11.904966354370117,17,0.937,0.9458261511942871,0.96025,0.9529835008063515,0.24680943054013832,0.3495197141811874,0.9368333333333333
2,1,,5.857877492904663,17,0.9373333333333334,0.9455799064269884,0.96,0.9527353926311871,0.24633226544946007,0.349160469703787,0.9365
3,2,,7.3987812995910645,24,0.9375,0.9460591133004926,0.96025,0.9531017369727047,0.24689557181064115,0.34991519356254475,0.937
4,3,,4.912053346633911,17,0.9373333333333334,0.9464858199753391,0.9595,0.9529484792054626,0.24674742456266033,0.350321281690767,0.9368333333333333
5,4,,5.7146618366241455,23,0.9375,0.9460723959615858,0.9605,0.9532316089815158,0.2463101844981026,0.3491066288528669,0.9371666666666667
6,5,,5.402688264846802,20,0.9375,0.9460723959615858,0.9605,0.9532316089815158,0.24664432223328647,0.3495317127148774,0.9371666666666667
7,6,,4.404977321624756,17,0.9373333333333334,0.9460192260290855,0.9595,0.9527119275164453,0.24665638255991953,0.3499350014703902,0.9365
8,7,,4.287840127944946,17,0.9373333333333334,0.9463318562284588,0.961,0.9536095261721657,0.2468971019702377,0.35022709890312154,0.9376666666666666
9,8,,7.067493200302124,17,0.9375,0.9462921901946292,0.96025,0.9532200024816975,0.24761032958689294,0.3505320036511736,0.9371666666666667
10,9,,5.911145925521851,17,0.9375,0.9453471196454948,0.96,0.9526172165715703,0.24641785701719784,0.34977692836209545,0.9363333333333334
