Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,5.688643217086792,60,0.8867924528301887,0.8591549295774648,0.9838709677419355,0.9172932330827067,0.4718169008127654,0.5037129777061524,0.8962264150943396
2,1,,7.161699533462524,65,0.8679245283018868,0.8026315789473685,0.9838709677419355,0.8840579710144928,0.6651064435941634,0.5850010527606072,0.8490566037735849
3,2,,6.945796251296997,63,0.8773584905660378,0.8157894736842105,1.0,0.898550724637681,0.593048076955445,0.520977906294984,0.8679245283018868
4,3,,6.970425605773926,64,0.9056603773584906,0.8611111111111112,1.0,0.9253731343283582,0.5062715797464801,0.5151219364810385,0.9056603773584906
5,4,,5.80378532409668,61,0.8773584905660378,0.7848101265822784,1.0,0.8794326241134751,0.5608890582461751,0.5282357374451238,0.839622641509434
6,5,,6.758188724517822,70,0.839622641509434,0.7922077922077922,0.9838709677419355,0.8776978417266188,0.5592856817598182,0.5302071263314818,0.839622641509434
7,6,,6.452834606170654,61,0.8679245283018868,0.8333333333333334,0.967741935483871,0.8955223880597015,0.4966690288991284,0.508036325840789,0.8679245283018868
8,7,,8.605611085891724,66,0.8773584905660378,0.8356164383561644,0.9838709677419355,0.9037037037037038,0.4914067439155541,0.49237209279715666,0.8773584905660378
9,8,,7.0128819942474365,64,0.8679245283018868,0.8,0.967741935483871,0.8759124087591241,0.842328025381886,0.6095063158261236,0.839622641509434
10,9,,8.47816801071167,70,0.8679245283018868,0.8026315789473685,0.9838709677419355,0.8840579710144928,0.7192988317560274,0.5550983793797617,0.8490566037735849
