Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,7.2769575119018555,59,0.8207547169811321,0.7654320987654321,1.0,0.8671328671328672,1.176901869527707,0.7155525482317971,0.8207547169811321
2,1,,6.542939901351929,59,0.8584905660377359,0.8266666666666667,1.0,0.9051094890510949,0.9760436363176686,0.5791374676719354,0.8773584905660378
3,2,,7.4257307052612305,69,0.8207547169811321,0.782051282051282,0.9838709677419355,0.8714285714285716,1.2082777759191603,0.67834926978065,0.8301886792452831
4,3,,6.853396892547607,63,0.8584905660377359,0.8051948051948052,1.0,0.8920863309352518,0.742931401839344,0.5768827271829574,0.8584905660377359
5,4,,6.368633270263672,59,0.839622641509434,0.7848101265822784,1.0,0.8794326241134751,0.7763399204258749,0.5827911436369363,0.839622641509434
6,5,,5.367057800292969,56,0.8301886792452831,0.7848101265822784,1.0,0.8794326241134751,0.6539376133036489,0.5328796815675018,0.839622641509434
7,6,,5.191006898880005,55,0.8301886792452831,0.7848101265822784,1.0,0.8794326241134751,1.2628901060126811,0.6825685521425043,0.839622641509434
8,7,,5.749450922012329,61,0.8207547169811321,0.782051282051282,0.9838709677419355,0.8714285714285716,0.6788850967659782,0.5927161720569103,0.8301886792452831
9,8,,6.482978582382202,68,0.8018867924528302,0.7808219178082192,0.9193548387096774,0.8444444444444444,1.3746446830466696,0.7276290274852822,0.8018867924528302
10,9,,5.760048151016235,61,0.8301886792452831,0.782051282051282,0.9838709677419355,0.8714285714285716,1.0570945363564175,0.6613649157396932,0.8301886792452831
