Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.24163365364074707,11,1.0,1.0,1.0,1.0,0.016755413116980936,0.09243322060109108,1.0
2,1,,0.15883183479309082,8,1.0,1.0,1.0,1.0,0.015695867519851116,0.09864611202321161,1.0
3,2,,0.24939203262329102,11,1.0,1.0,1.0,1.0,0.014724936495860898,0.0909335767771635,1.0
4,3,,0.21807646751403809,11,1.0,1.0,1.0,1.0,0.013429144250972873,0.08594448403593863,1.0
5,4,,0.1540977954864502,8,1.0,1.0,1.0,1.0,0.015428053708898238,0.09621309864406007,1.0
6,5,,0.20032405853271484,11,1.0,1.0,1.0,1.0,0.017535360764855498,0.09475898487719164,1.0
7,6,,0.16567373275756836,8,1.0,1.0,1.0,1.0,0.016912821959158778,0.09946698942093869,1.0
8,7,,0.22959041595458984,11,1.0,1.0,1.0,1.0,0.01788324865481885,0.09985898092830313,1.0
9,8,,0.20250535011291504,10,1.0,1.0,1.0,1.0,0.017350398470198126,0.0956657140850865,1.0
10,9,,0.22260403633117676,11,1.0,1.0,1.0,1.0,0.013117921958699178,0.08812663163648682,1.0
