Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.17910146713256836,9,1.0,1.0,1.0,1.0,0.014551676630091088,0.09201288916168374,1.0
2,1,,0.1978282928466797,9,1.0,1.0,1.0,1.0,0.015207746939930648,0.09193124784372052,1.0
3,2,,0.23877882957458496,9,1.0,1.0,1.0,1.0,0.019353637333555742,0.108481102203156,1.0
4,3,,0.19445562362670898,9,1.0,1.0,1.0,1.0,0.016942765572366198,0.10185424152084192,1.0
5,4,,0.17403531074523926,9,1.0,1.0,1.0,1.0,0.014055764655768237,0.08456085018527125,1.0
6,5,,0.24810552597045898,9,1.0,1.0,1.0,1.0,0.014911498988837415,0.09204193184971018,1.0
7,6,,0.23032641410827637,9,1.0,1.0,1.0,1.0,0.01657669439714419,0.09892183893898379,1.0
8,7,,0.1815333366394043,9,1.0,1.0,1.0,1.0,0.014015166476510407,0.08538619339314862,1.0
9,8,,0.22848939895629883,9,1.0,1.0,1.0,1.0,0.014684327509045796,0.09030269477023975,1.0
10,9,,0.23152756690979004,9,1.0,1.0,1.0,1.0,0.015049417719362997,0.09348448054497221,1.0
