Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,0.4894278049468994,20,1.0,1.0,1.0,1.0,0.01886174733458522,0.09807987839020448,1.0
2,1,,0.34688806533813477,16,1.0,1.0,1.0,1.0,0.015969712620055358,0.09291533288668173,1.0
3,2,,0.46987152099609375,20,1.0,1.0,1.0,1.0,0.01626990319845361,0.08888114340094883,1.0
4,3,,0.3890671730041504,20,1.0,1.0,1.0,1.0,0.018520108940710555,0.09624459537516027,1.0
5,4,,0.31635069847106934,16,1.0,1.0,1.0,1.0,0.01836472715195308,0.09965195021732447,1.0
6,5,,0.41022539138793945,20,1.0,1.0,1.0,1.0,0.017343779665700013,0.08853607370187998,1.0
7,6,,0.30072450637817383,14,1.0,1.0,1.0,1.0,0.01756351575084569,0.10332342975233172,1.0
8,7,,0.29627490043640137,14,1.0,1.0,1.0,1.0,0.017198676707819008,0.09615763422295974,1.0
9,8,,0.36670541763305664,20,1.0,1.0,1.0,1.0,0.019330595803537434,0.0965048622551711,1.0
10,9,,0.34267520904541016,18,1.0,1.0,1.0,1.0,0.017014055978288426,0.09895460597621712,1.0
