Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,6.188501834869385,38,0.7142857142857143,0.5625,0.6666666666666666,0.6101694915254238,0.9394022987822056,0.8284451381769156,0.6349206349206349
2,1,,5.866556644439697,35,0.7142857142857143,0.6666666666666666,0.5925925925925926,0.627450980392157,1.0671876841375705,0.7855915318165175,0.6984126984126984
3,2,,5.518514633178711,35,0.8253968253968254,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.7596607208700932,0.661298815753616,0.8412698412698413
4,3,,5.454016447067261,30,0.7777777777777778,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.934610044891074,0.6930104560690461,0.7619047619047619
5,4,,6.91489052772522,36,0.7936507936507936,0.7727272727272727,0.6296296296296297,0.6938775510204083,0.7424266800330283,0.6568893869764153,0.7619047619047619
6,5,,7.974078416824341,37,0.8095238095238095,0.8260869565217391,0.7037037037037037,0.76,0.7399185298899421,0.6540089958435406,0.8095238095238095
7,6,,6.510437250137329,40,0.7142857142857143,0.6521739130434783,0.5555555555555556,0.6,1.129637449993691,0.867713390510231,0.6825396825396826
8,7,,5.650102138519287,36,0.746031746031746,0.7083333333333334,0.6296296296296297,0.6666666666666667,0.820887537723736,0.7006774570852928,0.7301587301587301
9,8,,5.956518173217773,36,0.8571428571428571,0.875,0.7777777777777778,0.823529411764706,0.511505171851977,0.5891522683497561,0.8571428571428571
10,9,,5.7650980949401855,36,0.7777777777777778,0.782608695652174,0.6666666666666666,0.72,0.6010560954868959,0.6145199624418728,0.7777777777777778
