Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,7.455706596374512,47,0.8888888888888888,0.9166666666666666,0.8148148148148148,0.8627450980392156,1.7131975246379019,0.7348458186893766,0.8888888888888888
2,1,,9.200348615646362,45,0.873015873015873,0.875,0.7777777777777778,0.823529411764706,1.0038615764747199,0.6778540161851543,0.8571428571428571
3,2,,7.350793123245239,47,0.8412698412698413,0.8333333333333334,0.9259259259259259,0.8771929824561403,1.0566766595276993,0.662031349966211,0.8888888888888888
4,3,,9.159987211227417,60,0.8095238095238095,0.7931034482758621,0.8518518518518519,0.8214285714285715,1.1541323259652643,0.7987875309015682,0.8412698412698413
5,4,,9.04944658279419,55,0.9047619047619048,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6308030153673866,0.5722020526074991,0.9047619047619048
6,5,,10.26453948020935,65,0.9206349206349206,0.8333333333333334,0.9259259259259259,0.8771929824561403,1.3820892176900215,0.8159398167339329,0.8888888888888888
7,6,,7.369183301925659,45,0.873015873015873,0.8518518518518519,0.8518518518518519,0.8518518518518519,1.4810543454314324,0.7781815764218927,0.873015873015873
8,7,,7.0277252197265625,46,0.8412698412698413,0.8695652173913043,0.7407407407407407,0.7999999999999999,1.1457823209000289,0.7453503942913255,0.8412698412698413
9,8,,11.49334168434143,66,0.8412698412698413,0.8695652173913043,0.7407407407407407,0.7999999999999999,2.4441904829686507,0.9840203640662749,0.8412698412698413
10,9,,9.205288648605347,53,0.8412698412698413,0.8333333333333334,0.7407407407407407,0.7843137254901961,0.8735437732995411,0.7205280399780857,0.8253968253968254
