Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,3.69038462638855,21,0.6984126984126984,0.6176470588235294,0.7777777777777778,0.6885245901639345,2.078842945094997,0.9818739186925212,0.6984126984126984
2,1,,5.820678472518921,33,0.7619047619047619,0.7,0.7777777777777778,0.7368421052631577,1.380406467208062,0.8533317134453531,0.7619047619047619
3,2,,5.596708297729492,27,0.7142857142857143,0.6551724137931034,0.7037037037037037,0.6785714285714286,0.9778017768064889,0.8237336337979125,0.7142857142857143
4,3,,4.665124177932739,27,0.6507936507936508,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.9987556331480973,0.8793552367674531,0.6507936507936508
5,4,,4.4178900718688965,28,0.7142857142857143,0.6571428571428571,0.8518518518518519,0.7419354838709677,1.2241127881443346,0.8701370783318401,0.746031746031746
6,5,,4.412005662918091,27,0.7301587301587301,0.5833333333333334,0.7777777777777778,0.6666666666666666,1.8609285589493365,0.9996605452837006,0.6666666666666666
7,6,,4.5116353034973145,28,0.6507936507936508,0.5757575757575758,0.7037037037037037,0.6333333333333334,1.1979117017092757,0.9368391282272523,0.6507936507936508
8,7,,4.486783266067505,28,0.7142857142857143,0.5625,0.6666666666666666,0.6101694915254238,1.6351268284006435,1.0717456935099838,0.6349206349206349
9,8,,4.331541061401367,27,0.6825396825396826,0.5588235294117647,0.7037037037037037,0.6229508196721312,1.3819768836049013,0.9479170064066348,0.6349206349206349
10,9,,4.4174628257751465,27,0.746031746031746,0.6666666666666666,0.8148148148148148,0.7333333333333333,1.1624149808004713,0.911222471413069,0.746031746031746
