Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.442420482635498,55,0.9629629629629629,1.0,0.9090909090909091,0.9523809523809523,0.2436615670401995,0.3817249368790829,0.9629629629629629
2,1,,2.6281442642211914,62,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.21651587686829094,0.3786971280025106,0.9814814814814815
3,2,,2.567434310913086,60,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.3384240576220456,0.37993176430916137,0.9444444444444444
4,3,,2.8955185413360596,76,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.27295578242697033,0.3690392909053585,0.9814814814814815
5,4,,2.519031286239624,64,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.26520806423133086,0.39144371577242904,0.9444444444444444
6,5,,2.656292200088501,65,0.9629629629629629,1.0,0.8636363636363636,0.9268292682926829,0.2584906749835146,0.4146791576745941,0.9444444444444444
7,6,,3.169623374938965,81,0.9814814814814815,1.0,1.0,1.0,0.18221467489285678,0.3524948147864472,1.0
8,7,,2.998995780944824,74,0.9814814814814815,1.0,1.0,1.0,0.1418763416694733,0.2987209234206777,1.0
9,8,,2.608645439147949,66,0.9444444444444444,1.0,0.8181818181818182,0.9,0.30854790145061367,0.4102052431200394,0.9259259259259259
10,9,,2.3362438678741455,57,1.0,1.0,1.0,1.0,0.1426062947332048,0.31955554950209836,1.0
