Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.5652801990509033,58,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.14056070598005144,0.2913323581231249,0.9814814814814815
2,1,,2.7838635444641113,69,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.20334402168648147,0.341572489577715,0.9814814814814815
3,2,,3.5818653106689453,75,1.0,1.0,1.0,1.0,0.1568605892491742,0.3073228752198855,1.0
4,3,,4.355724334716797,95,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.24060010893470996,0.3948649873240743,0.9814814814814815
5,4,,3.0507724285125732,77,0.9814814814814815,1.0,0.9090909090909091,0.9523809523809523,0.24258704837827474,0.3524165806430684,0.9629629629629629
6,5,,3.6029324531555176,85,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.3738151222964887,0.3284420661411538,0.9814814814814815
7,6,,3.4263312816619873,69,0.9629629629629629,1.0,0.8636363636363636,0.9268292682926829,0.26509910480041665,0.3887197931389948,0.9444444444444444
8,7,,3.4200167655944824,79,1.0,1.0,0.9545454545454546,0.9767441860465117,0.12691945057421772,0.2958585105209075,0.9814814814814815
9,8,,3.5573313236236572,83,0.9444444444444444,1.0,0.9090909090909091,0.9523809523809523,0.22287955676836507,0.3830439683899602,0.9629629629629629
10,9,,3.6732208728790283,86,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.1470702238855748,0.2958737406856407,0.9814814814814815
