Run,Seed,Train accuracy,Train time,Train StoppingEpoch,Test accuracy,Test Precision,Test Recall,Test F1 Score,Test MSE,Test MAE,Central test accuracy
1,0,,2.446584701538086,54,1.0,1.0,0.9545454545454546,0.9767441860465117,0.15548642118521622,0.3189401737156776,0.9814814814814815
2,1,,2.7798213958740234,61,0.9259259259259259,0.95,0.8636363636363636,0.9047619047619048,0.2373461145151017,0.37624047519785575,0.9259259259259259
3,2,,3.2292733192443848,74,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.2233399396322323,0.36913619776733547,0.9814814814814815
4,3,,2.841249465942383,74,0.9629629629629629,1.0,0.8181818181818182,0.9,0.24899344124322878,0.3658280593513049,0.9259259259259259
5,4,,5.166434049606323,69,0.9814814814814815,1.0,0.9545454545454546,0.9767441860465117,0.44119161705697857,0.4344290147076854,0.9814814814814815
6,5,,4.645318984985352,59,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.3058730975926785,0.4084524278783948,0.9444444444444444
7,6,,4.831519365310669,63,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.22344730208574795,0.3661329873845212,0.9444444444444444
8,7,,3.3638482093811035,67,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.24150143181699538,0.3730696256483417,0.9444444444444444
9,8,,2.6277964115142822,61,0.9444444444444444,1.0,0.8636363636363636,0.9268292682926829,0.259980348657247,0.40187531637340485,0.9444444444444444
10,9,,2.838364839553833,64,1.0,1.0,1.0,1.0,0.15310218162468522,0.3316121374407586,1.0
